degradation_weight,position_weight,wavelength_tolerance,multiple_peak_penalty,spearman_vs_defaults,topk48_overlap,topk96_overlap
0.3,0.7,10,0.0,0.8833735976236926,0.8125,0.84375
0.3,0.7,10,0.25,0.9888517465222365,0.9166666666666666,0.9166666666666666
0.3,0.7,10,0.5,0.9975742587666435,0.9166666666666666,0.9166666666666666
0.3,0.7,10,0.75,0.9973726683110739,0.9166666666666666,0.9166666666666666
0.3,0.7,10,1.0,0.9961105367631607,0.9166666666666666,0.9166666666666666
0.3,0.7,20,0.0,0.884274642712895,0.8333333333333334,0.8645833333333334
0.3,0.7,20,0.25,0.9903186133367501,0.9583333333333334,0.9270833333333334
0.3,0.7,20,0.5,0.998266759423981,0.9583333333333334,0.9270833333333334
0.3,0.7,20,0.75,0.9980651688635022,0.9583333333333334,0.9270833333333334
0.3,0.7,20,1.0,0.9968030366587645,0.9583333333333334,0.9270833333333334
0.3,0.7,30,0.0,0.884708952498899,0.8333333333333334,0.8645833333333334
0.3,0.7,30,0.25,0.991474339341278,0.9791666666666666,0.9583333333333334
0.3,0.7,30,0.5,0.9988355922037484,0.9791666666666666,0.9583333333333334
0.3,0.7,30,0.75,0.9986340010911117,0.9791666666666666,0.9583333333333334
0.3,0.7,30,1.0,0.9973718654293864,0.9791666666666666,0.9583333333333334
0.3,0.7,40,0.0,0.8841970890109396,0.8333333333333334,0.8645833333333334
0.3,0.7,40,0.25,0.9924064321104682,0.9583333333333334,0.9583333333333334
0.3,0.7,40,0.5,0.9992381509926144,0.9583333333333334,0.9583333333333334
0.3,0.7,40,0.75,0.9990162850219252,0.9583333333333334,0.9583333333333334
0.3,0.7,40,1.0,0.9977743834032782,0.9583333333333334,0.9583333333333334
0.3,0.7,50,0.0,0.8841104434162351,0.8125,0.8541666666666666
0.3,0.7,50,0.25,0.9931112174712425,0.9583333333333334,0.96875
0.3,0.7,50,0.5,0.9995010678709512,0.9583333333333334,0.96875
0.3,0.7,50,0.75,0.9992791980654054,0.9583333333333334,0.96875
0.3,0.7,50,1.0,0.9980372749810316,0.9583333333333334,0.96875
0.4,0.6,10,0.0,0.8848111371030306,0.8333333333333334,0.8645833333333334
0.4,0.6,10,0.25,0.9813898319853204,0.9166666666666666,0.96875
0.4,0.6,10,0.5,0.9996376028154154,0.9166666666666666,0.96875
0.4,0.6,10,0.75,0.999309032284843,0.9166666666666666,0.96875
0.4,0.6,10,1.0,0.9981679645703015,0.9166666666666666,0.96875
0.4,0.6,20,0.0,0.8853111923731258,0.8333333333333334,0.8645833333333334
0.4,0.6,20,0.25,0.9820589879215618,0.9791666666666666,0.96875
0.4,0.6,20,0.5,0.9998568049697587,0.9791666666666666,0.96875
0.4,0.6,20,0.75,0.9995279055879337,0.9791666666666666,0.96875
